Vmag,Theta,Convergence
0.005527638190954774,-2.3522477657531615,True
0.005527638190954774,-2.3206739702396963,True
0.005527638190954774,-2.289100174726231,True
0.005527638190954774,-2.257526379212766,True
0.005527638190954774,-2.225952583699301,True
0.005527638190954774,-2.194378788185835,True
0.005527638190954774,-2.16280499267237,True
0.005527638190954774,-2.131231197158905,True
0.005527638190954774,-2.0996574016454397,True
0.005527638190954774,-2.0680836061319745,True
0.005527638190954774,-2.036509810618509,True
0.005527638190954774,-2.0049360151050437,True
0.005527638190954774,-1.9733622195915785,True
0.005527638190954774,-1.9417884240781134,True
0.005527638190954774,-1.910214628564648,True
0.005527638190954774,-1.8786408330511828,True
0.005527638190954774,-1.8470670375377176,True
0.005527638190954774,-1.8154932420242522,True
0.005527638190954774,-1.783919446510787,True
0.005527638190954774,-1.7523456509973219,True
0.005527638190954774,-1.7207718554838565,True
0.005527638190954774,-1.6891980599703913,True
0.005527638190954774,-1.657624264456926,True
0.005527638190954774,-1.6260504689434607,True
0.005527638190954774,-1.5944766734299956,True
0.005527638190954774,-1.5629028779165302,True
0.005527638190954774,-1.531329082403065,True
0.005527638190954774,-1.4997552868895996,True
0.005527638190954774,-1.4681814913761344,True
0.005527638190954774,-1.4366076958626692,True
0.005527638190954774,-1.4050339003492038,True
0.005527638190954774,-1.3734601048357387,True
0.005527638190954774,-1.3418863093222735,True
0.005527638190954774,-1.310312513808808,True
0.005527638190954774,-1.278738718295343,True
0.005527638190954774,-1.2471649227818777,True
0.005527638190954774,-1.2155911272684123,True
0.005527638190954774,-1.1840173317549472,True
0.005527638190954774,-1.1524435362414818,True
0.005527638190954774,-1.1208697407280166,True
0.005527638190954774,-1.0892959452145514,True
0.005527638190954774,-1.0577221497010862,True
0.005527638190954774,-1.0261483541876206,True
0.005527638190954774,-0.9945745586741555,True
0.005527638190954774,-0.9630007631606903,True
0.005527638190954774,-0.9314269676472251,True
0.005527638190954774,-0.8998531721337599,True
0.005527638190954774,-0.8682793766202943,True
0.005527638190954774,-0.8367055811068291,True
0.005527638190954774,-0.805131785593364,True
0.005527638190954774,-0.7735579900798988,True
0.005527638190954774,-0.7419841945664336,True
0.005527638190954774,-0.7104103990529684,True
0.005527638190954774,-0.6788366035395028,True
0.005527638190954774,-0.6472628080260376,True
0.005527638190954774,-0.6156890125125725,True
0.005527638190954774,-0.5841152169991073,True
0.005527638190954774,-0.5525414214856421,True
0.005527638190954774,-0.5209676259721765,True
0.005527638190954774,-0.4893938304587113,True
0.005527638190954774,-0.45782003494524615,True
0.005527638190954774,-0.42624623943178097,True
0.005527638190954774,-0.3946724439183158,True
0.005527638190954774,-0.3630986484048506,True
0.005527638190954774,-0.331524852891385,True
0.005527638190954774,-0.2999510573779198,True
0.005527638190954774,-0.26837726186445465,True
0.005527638190954774,-0.23680346635098948,True
0.005527638190954774,-0.2052296708375243,True
0.005527638190954774,-0.17365587532405868,True
0.005527638190954774,-0.1420820798105935,True
0.005527638190954774,-0.11050828429712833,True
0.005527638190954774,-0.07893448878366316,True
0.005527638190954774,-0.047360693270197984,True
0.005527638190954774,-0.015786897756732365,True
0.005527638190954774,0.01578689775673281,True
0.005527638190954774,0.047360693270197984,True
0.005527638190954774,0.07893448878366316,True
0.005527638190954774,0.11050828429712833,True
0.005527638190954774,0.14208207981059395,True
0.005527638190954774,0.17365587532405913,True
0.005527638190954774,0.2052296708375243,True
0.005527638190954774,0.23680346635098948,True
0.005527638190954774,0.26837726186445465,True
0.005527638190954774,0.2999510573779198,True
0.005527638190954774,0.33152485289138545,True
0.005527638190954774,0.3630986484048506,True
0.005527638190954774,0.3946724439183158,True
0.005527638190954774,0.42624623943178097,True
0.005527638190954774,0.45782003494524615,True
0.005527638190954774,0.48939383045871176,True
0.005527638190954774,0.5209676259721769,True
0.005527638190954774,0.5525414214856421,True
0.005527638190954774,0.5841152169991073,True
0.005527638190954774,0.6156890125125725,True
0.005527638190954774,0.6472628080260376,True
0.005527638190954774,0.6788366035395033,True
0.005527638190954774,0.7104103990529684,True
0.005527638190954774,0.7419841945664336,True
